review_title,review_text,review_rating
"
Pocket rocket this Laptop is
","
I upgraded from a 2017 Acer Aspire Intel i3 Laptop (256GB SSD + 1TB + 8GB). And after the first day of usage, my mind is blown. Yes, I paid a hefty amount for the Air (Rs 76K with an exchange, Amazon took my old laptop for Rs 8800).Display: 13.3 inches may feel small initially for those shifting from 15.6 or bigger screen sizes. Honestly, I'm already used to it in a day. Unlike my Acer, the screen is brilliant. Great viewing angles, crisp and the brightness is adaptive. I don't have to keep adjusting brightness levels all the time, the sensor takes care of it. Speakers are excellent for this form factor, they even have a very mild base.Performance: It's off the charts. This M1 chip has 5nm transistor spacing making the laptop incredibly efficient. Plus it comes with 8 cores so multi-tasking is a breeze. I have about 10 chrome tabs, and 5 other windows open and it provided over 12 hours of battery life. Performance is flawless, it doesn't lag, no stutters, not even a hint of retard while navigating through apps.Keyboard and trackpad: Trackpad is large. You can adjust levels of trackpad sensitiveness to your touch. A nice feature to have. The clicks are very satisfying as well. The keyboard is backlit, and the key travel is perfect. Takes absolutely zero effort to get used to the keyboard and trackpad.OS: The laptop comes with Big Sur OS and right from the get-go you get the option to upgrade to Monterey which took about 20 minutes on my 50gbps internet speed.Lastly, Amazon delivery was good this time. I had ordered a Lenovo 2 months ago and Amazon took 10 days to tell me that the product was damaged in transit. However, this time, Amazon delivered my Macbook Air in 1.5 days.Update: The charger gets very hot and I can feel a very mild current (almost like a vibration) on the flap when the laptop is plugged in. This happened on my Acer also. Anybody else facing with this?
",5.0 out of 5 stars
"
Pricewise best laptop money can buy
","
Mac user since last 7 yrs and this is too relevant even in 2022
",5.0 out of 5 stars
"
Its like ... You own a Beast... Superb Machine
","
It is so faster than windows laptop. And download and upload are just a click away. I was using Windows now became a macbook user and i am fully satisfied with Macbook Air M1.It's a total different machine for Windows Users but it is faster and secure than Windows.. Just Go For It.....
",5.0 out of 5 stars
"
Fabulous
","
Nice product by Apple
",5.0 out of 5 stars
"
If you're a student go for it .
","
It's a very laptop 💻 but here are some of my observations.Screen: The screen is realy amazing movies watching and whatever task you do like reading PDFs, browsing images etc. It's a pleasant experience to eyes .Battery: Although they claim for 15-16 hours of battery life but in real time usage this has been a lot less than the claimed.On the first initial days I was getting about 8-9 hours of battery life which I guess is still good in this price range .i thought there is any manufacturing defect in my air's battery hardware. But the screen brightness and the task you're performing plays important role in deciding battery life of the laptop.On less than 50% brightness and very light task I was able to get around 12 hours of battery backup and I'm happy with that .Performance : I'm an engineering student and do a lot of development work . So if you're into development you can blindly purchase it . The productivity it provides is justifiable to its price .Keyboard and Trackpad: This is probably the best trackpad in the laptops not comparing it with pro macbooks but better than almost all windows laptops. However the keyboard can be considered a very good keyboard but not the best . But it gives you a satisfactory feeling of typing.Verdict: It's been a month of using this laptop and I'm very satisfied . Will update this review after 2 months.
",4.0 out of 5 stars
"
Excellent
","
Value Buy from Amazon
",5.0 out of 5 stars
"
Apple products are unbeatable
","
Best laptop till date and unbeatable desgin and specs in today moder world as well . Anywhere you can see its the best and no.1 choice laptop still and yes it desrves it as the name says macbook is macbook .. apple products does true to their desgin n specs.  Loved the ui and user experience of apple product especially macbook is totally different from any other product
",5.0 out of 5 stars
"
just wow
","
Nothing can beat apple . rose cold colour is awesome, so me . it is so so sleek and perfect . goes with my personality
",5.0 out of 5 stars
"
Apple is at it again!
","
I have been using the Macbook 13,3 inches for almost a year now. It works extremely fast and is very smooth, the keys are great to type on. Though it has a good software and mostly good hardware, the camera quality is horrible. Its very blocky and the pixels are extremely visible. For the price, you can maybe get a better windows laptop but I have been a hardcore apple fan.Overall, I give it a 4.5 out of 5, it runs extremely smoothly even with multiple windows,tabs,apps etc open. My favourite part is the constant updates that apple provides that always upgrade the features and exemplify the user experience! I hope this helps =D.
",4.0 out of 5 stars
"
Good Value for money
","
Good quality
",5.0 out of 5 stars
"
Absolutely Beast For Programmers
","
Such a Great Purchase After a long time waiting, Really Value for many Product.
",5.0 out of 5 stars
"
Good one
","
Good computer, but the weight and booting time are more than expected.
",4.0 out of 5 stars
"
Good product from apple
","
Nice product. sleek, nice screen, battery power. first time apple user. can already see the difference in the screen clarity switching from pc. Also battery life is better in mac. I'm finally using the laptop the way its used to function - without cord. my old pc drains so much battery that you need to plug the wire as the day progresses. It has progressively gone worse and now needs a new battery within 4 years of use. I hope mac lasts much longer than that. its a bit pricy though but worth the price. hope it helps
",5.0 out of 5 stars
"
Awesome macbook
","
The m1 macbook is really fast
",5.0 out of 5 stars
"
Very good without camera
","
Excellent quality laptop except camera quality.
",5.0 out of 5 stars
"
Good job amazon
","
Nice
",5.0 out of 5 stars
"
MacBook Air M1 - Outstanding Machine
","
Having used Dell/HP laptops only this was the first Mac experience. Below are the observations:1. Buying from Amazon - Got 5900 off on MRP plus another 6000 through credit card plus same day delivery. Checked the serial number online and its a genuine product. Thanks Amazon.2. User experience - Switches on instantly, very light weight, screen is quad HD and you just cannot take your eyes of this machine. Compared to Windows the Mac experience is very smooth.3. Must say the previous HP laptops I bought had issues with numeric keys not working or taking ages to load and frequent windows patches requiring restarts. With Mac there is no compromise on quality.4. This has 2 ports only. The screen quality and trackpad are so good I ditched my plan to connect to external monitor Dell P2419H and logitech keyboard. Only use a M590 Logitech bluetooth mouse out of habit though one can do without it as well. In fact with this you dont need anything else on your table and can keep it clean.All I can say is having used this Mac its well worth the price and way better than all the Windows laptops in the market. Beware once you use this you would probably not want to touch a windows laptop again.
",5.0 out of 5 stars
"
Thinking of Laptop/Notebook - Don't look further
","
if you are a person who ever thought of buying a high performance laptop at a great bargain, this is it ! An Apple Mac with alien tech capable of competing with i9 processor at a price of that processor unit alone. Got it with a great discount and exchange price making my choice a bliss.Speed - Amazing - 10/10Finally a laptop which will say ""Bring it On""Sound -  Awesome - 10/10watch a movie an experience apple magic. I felt that surround sound so many times.Display - Kickass - 10/10I was unsure to whether I will like this 13.3)Ease of use - 10/10Get ready to become addicted !Handling - 10/10Light as a feather. You will feel scared almost everytime you take itBattery - Exceptional - 10/10 - Sure that you will miss its charger !I got 17hrs and 15% battery left on one charge over two days..Watched Netflix a lot, Worked like hell, Did lot of heavy lifting like code builds and all, Countless hours of web and what not ! Like I almost forgot where the charger was since I didn't charge it for two days straight.
",5.0 out of 5 stars
"
No words
","
Close your eyes and buy this MacBook Air rose gold and the colour is simply outstanding
",5.0 out of 5 stars
"
Perfect one
","
Everything is good
",5.0 out of 5 stars
"
Better than M2
",,5.0 out of 5 stars
"
A sleek nice laptop
","
Don’t us it for gaming
",4.0 out of 5 stars
"
Overall A great Purchase.
","
Writing this review after 3 weeks of purchase. Laptop is brand new and working great. No problem or issues with the performance (run benchmark test), you can easily do multitasking without any lag/delay. Since I am a software developer I tried with 6-7 microservices running side by side on the IDE. All were running smoothly.The battery last long for approx 12-13 hrs of continuous use without shut down.Slightly disappointed with the web cam, it's 720p, but better than other brands with same resolution.Overall a great experience with a great brand. Go for it.
",5.0 out of 5 stars
"
Loved it
","
Extremely light and slim in size. Display is truly amazing. Best battery life. Loved it. ❤️
",4.0 out of 5 stars
"
The best of the lot
","
I liked the usability of the laptop, super speedy and pretty
",5.0 out of 5 stars
"
WTF 😎
","
WTF Range man..😎
",5.0 out of 5 stars
"
Awesome product (except the camera, it sucks in room)
","
Awesome product (except the camera, it sucks in room regardless of how much light u provide BUT pretty good when you are in sunlight - don't know how)Sound quality is excellent!Lightning speed I feel hahahTrackpad is killer 😜PS - first time Mac user
",4.0 out of 5 stars
"
Apple's best in base variant!
","
It is obviously the best in this segment far better than any other widows laptop you have used.
",4.0 out of 5 stars
"
As always good
","
Good one
",5.0 out of 5 stars
"
Apple's Silicon at its best #MacbookairM1
","
The best, the fastest, the lightest (in its category), hardcore performer and best at its versatility. Thank you Amazon for making it the best deal. Acquired it for 90K with Zero Cost EMI for 6 months. Delivery on spot, rather received it early, in a well packed package. The delivery agent handed it over with the best ability as he knew its a high ticket parcel.
",5.0 out of 5 stars
"
The best laptop out there !
","
Besides being a beauty and extremely lightweight, this laptop is full of features which put it ahead of all other laptops.1. Battery life - Easily lasts for entire day even with continuous usage. With 4-6 hrs usage, the battery can last for upto 3 days. You dont have to lug the charger everywhere with the laptop.Other laptops dont even come close.2. Speakers- Great surround sound speakers make listening to music/watching movies a great experience/3. Speed - The startup and apps are superfast.
",5.0 out of 5 stars
"
Amazing
","
This product was delivered in only one day and with the M1 chip this the fastest laptop I have ever used go for it without  a second choice
",5.0 out of 5 stars
"
Good not bad
",,4.0 out of 5 stars
"
Best
","
Perfect Laptop for Students.Cons= No USB PORT
",5.0 out of 5 stars
"
Best laptop at 95k
","
It is the best laptop at this price point=》Best battery life=》Best performance=》Slim and lightweight=》Good display=》Good Keyboard and trackpad=>best laptop for Students and ProgrammersThe 3 downside about the M1 MacBook air is=》It doesn't support windows with boot camp=》 Inbuilt Webcam 720 p is not as good=》It has only 2 USB C ports and a headphones jack ( no USB A port and no HDMI  port)
",5.0 out of 5 stars
"
No doubt its a good laptop
","
The Macbook Air 2020 with M1 Chip is definitely a great laptop to buy for personal usage. Its a premium quality machine with great aesthetics and immensely powered by the M1 chip. However, I was a bit disheartened when I came to know that lots of applications have blocked the M1 chip and you cannot install them in this machine (like Instagram, Netflix etc). Overall it might look a costly one to buy, but if you are okay with MacOS then this is the best thing that comes in 93,000 INR. Dell XPS with similar configuration is costlier than this. Go check youtube reviews for this machine to know more in details. Its your hard-earned money so make sure you invest in the right stuff.
",4.0 out of 5 stars
"
It's alien technology
","
Pros:-1. It's Superfast. It will feel fast on everything - from bootup, to app opening, to builds etc.2. It's slim. Air has no fan hence it's form factor is even slimmer than Pro.3. It remains cold even during heavy code builds. It's hard to find things which makes it warm actually.4. I have tried several graphics heavy games and they run great without any heat as well5. If you are just browsing with Wifi on, typically it loses 10% battery in 7-8 hours. But it's for Safari browser. It has achieved I guess what people will call power-efficiency nirvana.6. Screen, Sound and Mic quality are awesomeCons:-1. Since it's winters in India now, some people might not like that it doesn't heat up the surroundings2. For longer workloads - like if you are doing daily large video compressions/conversions and that takes like 15-20 mins, then this machine will not work as fast as Pro; as that's not the load it's optimised for. But ask yourself - whether you are gonna do that at all.3. Camera is 720p and that sucks about every other laptop as well. But Apple has brought some software optimisations which will make it look better4. It doesn't make sound of fan, so you might feel asleep if you are used that to keep track of your ML jobs.Apple started a revolution with this. Go for it, it's worth it.
",5.0 out of 5 stars
"
Great
","
Go for it
",5.0 out of 5 stars
"
Good battery backup
","
Very good battery backup and according to be better than pro if compared according to price. Using it for coding.
",5.0 out of 5 stars
"
One of its kind
","
The best laptop below 1 lakh, if you don't game. That's it. Superb display, out of the world battery. In my three charges, it went 16, 12 and 15 hours respectively. That's insane. It's blazing fast in everything. Almost every app now supports native M1 chip.Apple has done a wonderful job, and it's completely value-for-momey.
",5.0 out of 5 stars
"
Excellent product
","
Excellent product
",5.0 out of 5 stars
"
Satisfied
","
Great
",5.0 out of 5 stars
"
Best laptop in this budget range
","
Got delivered within 6 hours and I got it at excellent price, 60000 Rs only. I have exchanged a 10 years old mac book pro and applied bank offers and got it for flat 60K.Best in class performance.
",5.0 out of 5 stars
"
You have to spend INR 8 to 10K extra on MS office and a port C Hub.
","
Excellent machine! The battery life is better than your mobile phone 8hrs on heavy usage 12hrs on medium and more on just light usage.But you have to spend extra on USB type C Hub for more ports. This is a big draw back and you have to buy MS office separately. Just include it into your budget.Need not to go for 16GB RAM even for video editing or gaming. 8GB works great and there is no heating issue at all, save your bucks. Best among the lot. In today's date M1 processor is the best as per the performance and wattage consumption.I will recommend it.
",4.0 out of 5 stars
"
A good upgrade from my 7 year old MCB Air 11 inch.
","
The upgrade was pretty long overdue. Got at a very good price due to the festive season and got decent exchange price for my 7 year old MCB air 11 inch. Had to spend around 10 K for additional accessories to switch from USB A to USB C, and another 8 K for the new office. So the overall cost of ownership is close to a lakh. This will last for quite a while so every penny worth it.
",5.0 out of 5 stars
"
Perfect machine for daily use
","
I am writing this review after a month of purchase. The apple m1 chip makes everything so much better. A lot of people told me that MacBook Air m1 is very close to the pro. Now I see why. The battery life is shockingly too good for an apple device. I use the laptop for browsing, emails, watching content and MS office; all of this runs flawlessly on this machine. The design is beautiful. The photos don’t do justice to the actual gold colour. I brought gold because space grey wasn’t available even after a long wait but I’m glad that happened because this is a rose gold colour and it looks splendid.This machine is worth every penny even without discounts, but if you get it with some credit card discount or good exchange deal like I did, don’t wait at all.
",5.0 out of 5 stars
"
It's just awesome one word is enough ..
","
It's just awesome one word is enough ..I moved from windows to mac , so it was difficult to understand but after 1 day it was just superb.But about the heating I cnt say much now will update review once in summer condition .But battery Is more than enough, Works like makkhan
",5.0 out of 5 stars
"
Great Product
","
Has been 3 months. So far looks good. No Lag, using multiple apps at a time for coding. Battery lasts around 8-10 hours on wifi + youtube + ~6 chrome tabs + vscode all way.Possible cons:Battery is great but lasts less than Macbook ProKeyboard seems of low quality
",5.0 out of 5 stars
"
Value for money
","
Pro1.Battery : more than 15hr in day to day software development use.2. Exilent performance3. Best build quality4. Instant open5. Most secure6. Trackpad you will love itcons:1. M1 chip not support all the software.( It will improve with time).2. Keyboard ( It sucks. specially if you are typing for long time. No key travel)3. Ram (Go for for 16gb I have done this mistake. It will help you on longer run)4. If you are planning to do longer work like ( Video editing, Machine Learning or Deep learning) It will heat  a lot ( Go for pro version )5. you have to buy office :)
",5.0 out of 5 stars
"
Purchased Macbook Air M1 in 2022
","
Enjoying it, especially typing on this one is a pleasure.
",5.0 out of 5 stars
"
AWESOME APPLE
","
Wonderful product
",5.0 out of 5 stars
"
Awesome…!
","
This is my first MacBook. I am not a video editor or software professional. So can speak about the design and overall performance only. It’s good enough for my daily office works and browsing. Only thing I required was office tools like excel, word and PowerPoint, that was not there but I purchased office 365 and managed it. I think response time is pretty more comparing to my previous HP intel i5 10th gen. but overall it’s good looking and very handy. Battery life is excellent no words to say, similarly video clarity and sound is also awesome. Apple was dream for me and now I owned it.
",5.0 out of 5 stars
"
The battery is insane 🔋
","
I am not a programmer or a graphic designer but I needed this for coursework and statistical analysis. The battery seems to be everlasting and I charge it once in 2 days and even that is super fast. The weight is light and the ergonomics is great. The MacBook interface is just great and you won’t regret this purchase. It took me a day to get used to it, being a previous Windows user but everyday I discover new hidden features and it’s great. Don’t buy it to show off but buy it for the absolute workhorse that it is.
",5.0 out of 5 stars
"
Value for Money
","
Probably the only value for money apple product. Just go for it. The best laptop for software developers.
",5.0 out of 5 stars
"
Awesome.
","
Good buy
",5.0 out of 5 stars
"
Great Product
","
It is a great product, works very well for normal work use.
",5.0 out of 5 stars
"
Fantastic laptop, slightly expensive in India.
","
The speed with which native apps open is amazing, the battery life is fantastic.You will need to spend more money on the right connectors etc, especially if you want a desktop setup. My Thunderbolt 2 monitor has a lot of USB-A ports to connect my mouse and keyboard and all I had to get was the (rather expensive) Apple Thunderbolt 3 to Thunderbolt 2 connector for Rs 4,500 (which I paid for with my Amazon Card cashback). There are no third-party options. Made more sense (given my needs) than spending Rs 6,000+ on a flimsy USB-C hub or Rs 12,000 on a USB-C dock like the Dell D6000. Thunderbolt docks in India are overpriced and unnecessary if you don't need the speed.
",5.0 out of 5 stars
"
Just Fall in love
","
This is my first step towards appleTruly I love it build quality great performance great speakers are awsome.
",5.0 out of 5 stars
"
Best in its segment.
","
Best value for money laptop.I got it around 81k(10k bank offer +14.5k exchange offer) with 512gb ssd and 8gb ram.So far satisfied with the product as i use my laptop for coding practices(web and Android application development)
",5.0 out of 5 stars
"
Charger stoped working on a year..
","
There is no damage.. still charger just decided one day to stop working
",1.0 out of 5 stars
"
Amazing Laptop
","
Pros:- Battery Life - No other laptop with this form factor comes near to this one.- Performance - With the M1 Chip processor from Apple, Software and Hardware work together like magic.- No Fan for cooling the processor, so super silent.- Compact and lightweight.- Mac OSCons:- Normal limitations related to Mac OS (For example, gaming).Recommendation:The best Apple laptop period.  Go for it if you are not a gamer or dependent on software exclusive to windows.
",5.0 out of 5 stars
"
Nice One. Value for money
","
Nice One. Value for money. Must buy
",5.0 out of 5 stars
"
Best battery
","
But performance is not as expected
",4.0 out of 5 stars
"
Value for money
","
Nice quality
",5.0 out of 5 stars
"
There is a reason why Apple builds laptops
","
There is nothing to dislike about Apple's M1 line. Takes a month or two to get used to all the gestures, especially for a Macbook virgin like me.
",5.0 out of 5 stars
"
Easy to access
","
Finally got my dream Book 😍Totally value for money, easy to carry.
",5.0 out of 5 stars
"
THE BEST ONE
","
This laptop I've got it for 75k with HDFC offers, which is the best deal. Also, battery backup is simply amazing and with rest of the device am sure all by now know it has an awesome screen. However the only expectation is apple to quickly load apps customized to M1 into their store or atleast most used ones. Overall build quality is 10/10, screen 10/10, performance 10/10, support 9/10, battery 10/10, sound quality 8/10, value for money 9/10.
",5.0 out of 5 stars
"
Amazing product
","
I am so happy to get it from here! Got great discounts! Which were not even available on apple stores! Also got silver color! Which was apparently unavailable in Mumbai!
",5.0 out of 5 stars
"
Great quality as usual!!
","
Great quality - takes some time getting used to, if you’ve been using windows pc/laptop!Premium product
",5.0 out of 5 stars
"
Amazon bungled the delivery!
","
Apple being Apple, everything is excellent. However,  I ordered Spaceport but Amazon delivered Gold. As I got with good discount,  I had to live with it.
",4.0 out of 5 stars
"
Expectation matched reality
","
Cons:1. Logo doesn't glow as expected.2. There is no extra 8gb GPU. This is just a false statement used for marketing.Pros:1. Got the expected colour, space grey2. Excellent battery life3. Speaker Sound quality amazing4. Fast processor.
",4.0 out of 5 stars
"
Amazing Perfomance
","
Amazing Performance Where the camera quality disappoints
",5.0 out of 5 stars
"
Nice product
","
Worthy of penny
",5.0 out of 5 stars
"
Best
","
I feel motivated using this super fast machine, I switched from Dell (intel core 2 duo) ;)
",5.0 out of 5 stars
"
Excellent Machine
","
It is truly a amazing experience using M1 Mac Air .. superb quality and superb performance of official and professional work music recording and editing videos
",5.0 out of 5 stars
"
Don't feel like Apple product
","
Within a month of the use trackpad stopped working. At that time Apple care told me now it cannot be exchanged/replaced as the replacement window is over. I left with only choice of getting the hardware replaced. Now again within a year same issue, the trackpad has stopped working. Even worst I need to pay for new part this time as the warranty has expired. I bought this for my daughter's study and uage is very minimal. It doesn't seem like using apple product. Feel like cheated!!
",2.0 out of 5 stars
"
Best Performance but Not Value for Money
","
The performance, look, design everything is awesome but it is not value for money in 2 Lakhs.I would have purchased buy Macbook Air M1 if had known it earlier as that is a totally worth investment.
",5.0 out of 5 stars
"
Apple MacBook ❤️
","




                    The media could not be loaded.
                



 Very light weight and smooth finish. Loving every bit. Wonderful sound quality and awesome features. Apple is love
",5.0 out of 5 stars
"
Most awesome laptop I have used for coding
","
In my life I have used many laptops but this one has best of all the world. It is light weight handy best battery life best screen quality and optimised ram management. Your training models runs like butter on hot plate. Best investment for me.
",5.0 out of 5 stars
"
BAD CAMERA QUALITY
","
everything is good but web camera quality not good, so if you're buying for camera then this is not for you, go and buy a iphone.
",5.0 out of 5 stars
"
M1 Chip Dose not support lot of apps.
","
M1 Chip Dose not support lot of apps. Intel was best it support max apps
",3.0 out of 5 stars
"
Faster than i5 slower than i7
","




                    The media could not be loaded.
                



 Air 256GB GoldPros:Build qualityBattery lifeSecurityCons:Slower than i7 processorUseless GPUPriceFor programming:Good if you are not working on tensorflow or similar.
",4.0 out of 5 stars
"
Great budget laptop for everyday use.
","
Very satisfied with my purchase. Awesome speed, sound and display. Very nice Internet speed and disk speed as well.
",5.0 out of 5 stars
"
Best value for money packed with a superior performance boost.
","
Definitely a good choice for a first macbook purchase.
",5.0 out of 5 stars
"
Good Buy
","
Great screenNo issues yet
",5.0 out of 5 stars
"
Excellent
","
Excellent, but some apps are still not compatible
",4.0 out of 5 stars
"
Luxury and a brand
","
Amazon delivery and trust is great. Bought this without second thoughts.
",5.0 out of 5 stars
"
my first apple laptop😌
","
i like this better than pro. its travel friendly.
",5.0 out of 5 stars
"
Worthy Product!
","
Great performance and value for money product.Got in 91k with exchange (512 GB Model).Go with MBA 512 instead of MBP 256 Gb.
",5.0 out of 5 stars
"
Nice Product
","
Value for Money bought it in exchange my 5 yrs old MacBook Air.
",5.0 out of 5 stars
"
Don't buy from here
","
Dont buy from here i am getting lot of issue like unexpected shutdown battery issue please don't buy from here
",1.0 out of 5 stars
"
5 Star
","
5 Star
",5.0 out of 5 stars
"
It's value for money
","
I am using Macbook M1 - 512GB version for more than 20 days now. I never noticed any heat. I am able to install almost everything I need. HomeBrew, VLC Player, VSCode, Darktable, Docker Preview, Chrome, and many more.iTerm with ohmyzsh no issue at all.node, ruby, python, java(azul jdk), php, elixir, go, typescript, many morenot installed deno as I have to download x-code full(11GB) will do in futurenot installed android studionot installed rustnot installed whatever I didn't install.Spotify, Prime Music were installed for music
",5.0 out of 5 stars
"
Nice MacBook Air with M1 chip is awasome
","
It is a good work experience in Mac Air M1. It's super fast.
",5.0 out of 5 stars
"
Perfection!!
","
The best laptop under 90000 even in March 2022. Period.
",5.0 out of 5 stars
"
MacBook Air got huge discount
","
Best laptop from editing and day to day task with good battery life
",5.0 out of 5 stars
"
worth the price.
","
Overall experience is very good. Writing this review after usage of 15days. Look and feel are great.Sublime txt editor is crashing very often.  Boots very fast and smooth. You may not be using any other laptop after using mac M1.  Feels good in hands.
",5.0 out of 5 stars
"
Awesome laptop
","
Great product for medium to high intense usage. I am using for software development. Runs all IDES very smoothly. Compact size is very portable. And M1 chip battery goes more than a day sometimes.Great product.
",5.0 out of 5 stars
"
Powerhouse laptop
","
Smooth laptop which runs without any hickup and best part is the transition between apps or browsers which runs seamlessly.. and as claimed by the apple the batter runs min of 10hours on a single charge. But only cons is its nt dat light weight as I was expecting it to be.
",5.0 out of 5 stars
"
Superb buy
","
Excellent device. Have no complaint so far.
",5.0 out of 5 stars
"
Worth buying the product
","
Everything is phenomenal, no problem, Apple is Apple value for money product
",5.0 out of 5 stars
"
Awesome product by Apple
",,5.0 out of 5 stars
"
Camera was not working from day1 Replace asked but return given. Unsatisfied with Amazon and apple
","
Camera was not working from day 1.
",3.0 out of 5 stars
"
Great option in price range
","
Macbook air provides good value compared to other laptops in this range (still expensive). But I received faulty Capslock key, will get it changed asap. Overall happy with the purchase. Will consider Thinkpad series for next buy. Do check them out as well
",4.0 out of 5 stars
"
Amazing........
","
love to have it, cant live without it....
",5.0 out of 5 stars
"
Excellent machine
","
Apple has shown his great work in this MacBook with own chip hardware. Apple will change the performance benchmarks from this lineup. Look wise cannot be better than this.  However it has sharp edges where paint will eroded first. Battery works with great efficiency in sync of M1 chip. All other things work fine as older generation.
",5.0 out of 5 stars
"
Nice product
","
I bought this mac for my college use along with some mixing and editing of songs, so for both the purposes this mac is really good and I love it...
",5.0 out of 5 stars
"
Beautiful Laptop
","
Nice look ,nice IOS,Light wt.and good lookBut one problem created after few month is screen is death not on ....
",5.0 out of 5 stars
"
Happy with the purchase
","
Loved the Mac.
",5.0 out of 5 stars
"
Speakers are not up to the mark on my laptop!!!
","
All the things about this laptop is good except for the sound quality on some songs that I have played on YouTube.Can anyone please play tu aake dekh le by king official video on YouTube at full volume and please tell me if you are hearing any crackling sound at the beginning??
",3.0 out of 5 stars
"
Delivered as promised
","
Excellent product
",5.0 out of 5 stars
"
Amazing
","
Its awesome
",5.0 out of 5 stars
"
Great Purchase!!
","
Must buy for personal and professional use.Light weight and very fast.Only con is that screen is finger print magnet.
",5.0 out of 5 stars
