ProductName,Price,Rate,Review,Summary
"Candes 60 L Room/Personal Air Cooler??(White, Black, CRETA)","??8,999",5,Great product,Good ???
"Candes 60 L Room/Personal Air Cooler??(White, Black, CRETA)","??8,999",5,Awesome,Very nice product ???? ???
"Candes 60 L Room/Personal Air Cooler??(White, Black, CRETA)","??8,999",5,Worth every penny,Good product
"Candes 60 L Room/Personal Air Cooler??(White, Black, CRETA)","??8,999",5,Just wow!,Nice product with the reasonable price
"Candes 60 L Room/Personal Air Cooler??(White, Black, CRETA)","??8,999",5,Awesome,I like it...?
"Candes 60 L Room/Personal Air Cooler??(White, Black, CRETA)","??8,999",5,Terrific purchase,Very goodd
"Candes 60 L Room/Personal Air Cooler??(White, Black, CRETA)","??8,999",5,Excellent,Good product
"Candes 60 L Room/Personal Air Cooler??(White, Black, CRETA)","??8,999",5,Worth every penny,Good product kawaleti
"Candes 60 L Room/Personal Air Cooler??(White, Black, CRETA)","??8,999",5,Terrific,Very good cooler amazing beautiful designs affordable price
"Candes 60 L Room/Personal Air Cooler??(White, Black, CRETA)","??8,999",5,Awesome,Using since 3months. Great experience.
"Candes 60 L Room/Personal Air Cooler??(White, Black, CRETA)","??8,999",5,Simply awesome,Very good performance and nice look
"Candes 60 L Room/Personal Air Cooler??(White, Black, CRETA)","??8,999",4,Wonderful,Product is good having strong thrust of air flow.. Must buy
"Candes 60 L Room/Personal Air Cooler??(White, Black, CRETA)","??8,999",5,Terrific,Very good ???
"Candes 60 L Room/Personal Air Cooler??(White, Black, CRETA)","??8,999",2,Expected a better product,Bad quality
"Candes 60 L Room/Personal Air Cooler??(White, Black, CRETA)","??8,999",5,Excellent,Very nice ??? product
"Candes 60 L Room/Personal Air Cooler??(White, Black, CRETA)","??8,999",5,Terrific purchase,Very soundless product and low price other company
"Candes 60 L Room/Personal Air Cooler??(White, Black, CRETA)","??8,999",5,Wonderful,Nice
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Wonderful,The best poduct that i bought from flifkart it works superb like ac and price is also reasonable only rs 8698
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",4,Good quality product,"cooler is big and wide . maharaja brand trust (y) every thing is good about cooler ,create less noise . only thing is that its motor is not powerful   even in high speed rest all things are good ,.but yes for one middle size room it is ok"
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Awesome,It is one of the best air coolers at reasonable price have ever seen but the ventilation of the room is must for proper cooling but the size is quite big it will I hope create a space problem during off seasons... The air supply is very good and it's one of the essential part of the air cooler with the wool wood pads which helps to make super cooling.... Afterall thank you Maharaja company to make such a product in affordable and reasonable price
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Excellent,Awesome Air coolerI was looking for a cooler under this range and this has fulfilled my requirement. This has the following features:1) Great Air through the capacity of 5000 m3/hr 2) Comes with a large 65-litre tank which can run overnight with ease.3) Great built that is a shockproof and reliable material.4) You have to stop this beast at night because it has that massive cooling capability.One small concern is mine and it is for sure that it is not a deal-breaker that it produces s...
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Great product,"Purchased after a lot of discussions and reviews. I would say this the best which gives you the comfort needed. Best to for with no 2nd thoughts. Nice cooling, low noise. Hope this should be energy efficient and used for a long run..."
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Highly recommended,Very nice cooler. Cooling is very good  there is no noise. I reviewed a lot then only i purchased it. If you want effective cooling you have to set it up at a window where there is cross ventilation. Without cross ventilation it will make environment humid. Lookwise it is very nice and material is strong.
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Awesome,feedback given after using one week .. the cooler is amazing it's making the whole room cooling .. you should install the cooler near to your windows .. & the delivery was on time as well .the delivery boy also very supportive
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",3,Decent product,Great deal .. 65 l quite big tank . Sufficient Cooling for one medium size room .. 3 modes works well.. best in this range
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Fabulous!,I bought this cooler on heavy discount by flipkart. Cooler is build of good quality material. It has a fast fan with powerfull motor pump. Air quality is Excellent even for a big room. A must buy value for money product.
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",3,Very satisfactory,"The Good things1. Very well packed. Good amount of thermocols to protect from transport damages2. Sturdy body3. Relatively less noise as compared to Bajaj cooler I had earlierWish this was betterFor many purposes, it is necessary to open Cooler body. Opening the body of cooler is not very intuitive. Common consumers may not even attempt for fear of damaging something. 1. Easy opening of side frames to change pads, or clean the water inlets2. Water balloon used to cut water supply au..."
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",4,Good quality product,Excellent product..Happy with result....Nice air flow...Osm cooling.....
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Mind-blowing purchase,cooler Works Fine And It Is Inverter Friendly
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",1,Waste of money!,"Small wire and moter capacity is very low fan speed was not good ,out flow vent hole is above the lower part of cooler ,it's very difficult to change water."
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Must buy!,Perfect product for large size room.
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",4,Good not best,Average cooling not much as expected by size and reviews of cooler... cooling is sufficient Maharaja whiteline should work on its cooling efficiency and reduce size by width can increase in height to maintain tank capacity.
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Must buy!,Product was amazing..  cooling capacity awsum. Pls go for ahead .. a big thumbs up ?
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",4,Does the job,good
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",3,Nice,"Received dalay 10 days, cooler is ok, when I was reveived switch damaged."
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",4,Worth the money,"Big one,working good 2days of use hope will work for long run"
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",4,Pretty good,good product nice air flow and no noice
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Good cooler,In this price.. Good cooler..
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",4,Wonderful,is good for many
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",4,Wonderful,"It is an awesome product, light weight, easy to use and having lot of features"
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",1,Worthless,The product doesn't cool as rated by other customers . The cooling is very slow . Very wrost product . I recommend to not buy this item . Wastage of money .
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Great product,looks like monster cooler. it is working as awesome
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Great product,"Very nice product, Thank you Flipkart."
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Must buy!,Very good
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",4,Good quality product,Good cooler.  It occupies more space..   Looks very large but good for Hall..   It covers all the places...
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",3,Decent product,"Very impressive cooler.Pros - Stylish , Energy efficient 165 Watt , Very good air throw and cooling , Summersible pumpCons - Very bulky take more place than other , No wheel , lack of ice box"
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Brilliant,Best cooler. I bought 6884/-
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Super!,Excellent cooler in this price range.Pros:1) Air throw is very powerful even when u run it at slow speed setting 2) Cooling and Tank capacity3) Ergonomics Cons:1) If you want to clean the cooler then opening the pads is very cumbersome process. If you have placed it on some flat surface then also draining the old water is very difficult. Overall V good cooler apart from above cons and considering price.
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",1,Worst experience ever!,Cooler not provide cool air... Because 1year experience.
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Perfect product!,A good product in budget
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",4,Wonderful,packaging excellent. value for money product.
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Simply awesome,"Delivered within 2 days, working good"
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",4,Nice product,Efficient for Large RoomsPros-1. Low Noise of Fan2. Inverter Friendly3. Cools large rooms fastly and easily4. It have Aroma chamber in which you can add tablet of frangrance to Counter Smell of Woodwool Pads5. It have 2 Section for air flow which means you can adjust it to get Air for double decker cot equally.Cons-1.They should have provided stand of castor wheel for it to move.2. It should have Ice ChamberWill Update more about it in future...
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",4,Worth the money,better than the steel cooler less noise and value for money
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",1,Useless product,"dont buy maharaja whiteline coolers , they have cheap aluminum motors that are good for at max 2 years. repair cost of these motors is so high that u would want to sell rather than repair them."
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Excellent,Very nice product and delivery is satisfied
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",1,"Like an assembled, one can get for 4.5K Cheap Quality","No Quality product.1. The wood wool has started falling out from the next day.2. Out of Two Led (Indicator ) has found not working on arrival.3. The air swinger is already giving noise when moving which never used to be in my old cooler which I am using since 3 years.4. The quality is no way machine to ""Branded"" coolers.5. Anti bacterial tank has been bacterial now as there is no way to clean it. So, congested to maintain it cleanly.In my way think before you buy.AC has option to Aut..."
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Simply awesome,Air throw is very good. It makes room very cool in just half an hour. Full tank capacity is 65 litres which stays up to 5 hours. It makes big living room colder. Not very much noisy.
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Great product,on time delivery... Received exact product..Thank u Flipkart.
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Wonderful,Maharaja always no 1...
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Wonderful,Awesome product. Love this
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",2,Not good,Poar quality plastic material is not good.
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",4,Very Good,Value for money
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Super!,Nice cooler
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Terrific purchase,fantastic product.. great cool...
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",2,Slightly disappointed,"Don't buy just by seing the comments, don't know how people review and rate the product. Cooling is ok, but when it comes to fill the water, you would need inlet pipe to fill the water, we cannot open from the backsides to fill the water.Cleaning is highly impossible, because there is no way you can open and clean. Worst design. Other small small branded companies provide all those facilities, but this is worst product design, totally unhappy with this product."
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",4,Good quality product,Best at its price
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",2,Expected a better product,"This is my review after using this product for a week.1-air throw is good.2-produce less noise.3-good product at reasonable price.But it never open from behind,not easy to clean,refill the water,cable is short"
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",1,Horrible,Cooling fan problem
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",3,Nice,"After discount Rs 7200. Price is OKQuality is OKDelivery as on time OKMotor Speed 1200 rpm OKPump OKColour is OK & look is also OKWater storage is Appx 65 ltd More than 3 large bucket is OKStill giving 3 star because it is a large in size and in width, not fit to my window. Not expected.Will give next rating after couple of month usage.Thanx Flipkart."
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",4,Good quality product,"Product is really worthy of price 8k , however it occupied more space in room. Should one consider it before buy it. Worth for that money"
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Simply awesome,"Mind Blowing Very Good for Hall and for Big Wondow, it's really big in size, Quality is nice, must buy"
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Mind-blowing purchase,Good and sufficient size
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Highly recommended,Awesome
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Fabulous!,Good product
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Brilliant,Best product
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Great product,Very good
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Highly recommended,Good product delivery on time ??
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Must buy!,Nice product deliver in time
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Terrific purchase,I honestly liked the product.Best desert cooler at lowest price. I got the deal of 6889/-Nice brand. Good built quality with precision to each.Good switches and knobs to control.Takes space as its huge.Very silent.Not high but good speed fan to cool upto upto 12 feet.No ice tray but its not a matter.Go for it.
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",1,Very poor,Don't buy this product.. Within 1.5 year wind blade was broken and noise issue. Wind blow very low.. It's better to go other brand..
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Mind-blowing purchase,Awesome product
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Terrific purchase,Very good product.
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",4,Good quality product,Valu for money
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",4,Wonderful,Nice to
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",1,Useless product,Worst product ....Fan speed very slow....like nothing......
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Terrific purchase,Best product
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Simply awesome,"Big size, mostly like industrial cooler, but within this price and my house is big it is perfect. No wheels but  can buy stand and it works fine. If you have close home and less space go for other options."
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",1,Unsatisfactory,Very Bad service by Flipkart customer care representative and Jeeves agent. Too much Bad performance. No cooling just like a stand fan.
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",4,Really Nice,Oh really really very good I am so happy
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",1,Unsatisfactory,Low air and not cooling as axcpected
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Best in the market!,Super cooling system
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Highly recommended,Very nice working
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Classy product,Excellent performance
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",4,Good quality product,Good ???
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Best in the market!,Wonderful product.  Can go for it.
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",4,Good quality product,Really desert cooler. Super cool???????
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Brilliant,Very Good product. Water flow must be slow from pump but it's okay.
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",1,Absolute rubbish!,Water inlet is not good
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Terrific,Awesome
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Terrific purchase,OWSUM PRODUCT
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",3,Just okay,Not so good
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",4,Nice product,"Cooler is really very good, but use any cooler ventilation os a must, without ventilation no cooler will work, especially in rainy season.Product is original, was delivered safely.- this review is after a week."
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",4,Good quality product,??ice product
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Perfect product!,Not working motors and very bad poor maharaja cooler
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Must buy!,Very good product worth buying
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Perfect product!,Good product
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",2,Bad quality,Fan speed is slow and making lot of noise
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Mind-blowing purchase,Nice cooler .Perfect for hall.
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",4,Worth the money,Very good cooling
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",1,Worst experience ever!,Average production
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",4,Really Nice,Awesome
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Fabulous!,Awesome
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Highly recommended,Nice product
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Fabulous!,Good aircoolr
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",4,Good quality product,Nice
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Great product,Good condition best cooling
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",4,Really Nice,Good product
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Wonderful,Good
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Just wow!,"Superb nice cooling,simply awesome unbeatable at this price range."
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",4,Good quality product,"Build quality is better than Symphony Jumbo 70.However, cooling is a bit lesser and noise a bit more than Symphony Jumbo 70.A larger tank capacity of 90-100 ltr with Aspen pads is desirable."
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",3,Just okay,Product quality is very bad  and fan blade broken... Air flow average
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Super!,Good product
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",3,Nice,Nice product
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Fabulous!,Amazing
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",1,Worthless,This cooler is not not cooling the room
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Worth every penny,Excellent
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",4,Worth the money,Cooling system is good
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",1,Absolute rubbish!,Speed  of cooler is slower than fan after one week of use.
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Super!,Awesome for big rooms.
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",4,Very Good,"Cooler is good but sige is big colling good prise 6500The cooler is good, but its airing speed is low.Makes very little noise and is good to watch."
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",4,Really Nice,Good product
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",3,Just okay,Speed is very slow
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Terrific purchase,"Very good product, in all respect it is one of the best desert cooler in the market and finally thanks to Flipkart & product designer/ manufacturers.it looks simple but cooling effect is amaging ."
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Mind-blowing purchase,Very good
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Highly recommended,Awesome
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",1,Very poor,Not satisfied with the cooling very bad cooling
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Mind-blowing purchase,I think that it is small but it is big and Colling is excellent
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Terrific purchase,Very nice product I am happy
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Best in the market!,I like it. It is good.
"MAHARAJA WHITELINE 65 L Desert Air Cooler??(White, Grey, Rambo Grey / AC-303)","??7,999",5,Excellent,Good
